Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_lr=0.001_momentum=0.9_mode=MLMC_run_3
epoch: [0], step: [299/1581], batch loss: 2.13170, batch accuracy: 28.12, data load time: 0.00030, step time: 0.01369,
epoch: [0], step: [599/1581], batch loss: 1.73664, batch accuracy: 34.38, data load time: 0.00032, step time: 0.01343,
epoch: [0], step: [899/1581], batch loss: 1.61601, batch accuracy: 40.62, data load time: 0.00024, step time: 0.01324,
epoch: [0], step: [1199/1581], batch loss: 1.53739, batch accuracy: 43.75, data load time: 0.00023, step time: 0.01317,
epoch: [0], step: [1499/1581], batch loss: 1.35489, batch accuracy: 50.00, data load time: 0.00023, step time: 0.01318,
epoch: [1], step: [218/1581], batch loss: 1.64398, batch accuracy: 50.00, data load time: 0.00025, step time: 0.01320,
epoch: [1], step: [518/1581], batch loss: 1.46672, batch accuracy: 46.88, data load time: 0.00036, step time: 0.01316,
epoch: [1], step: [818/1581], batch loss: 1.13883, batch accuracy: 53.12, data load time: 0.00026, step time: 0.01321,
epoch: [1], step: [1118/1581], batch loss: 1.27762, batch accuracy: 59.38, data load time: 0.00023, step time: 0.01319,
epoch: [1], step: [1418/1581], batch loss: 1.41834, batch accuracy: 43.75, data load time: 0.00024, step time: 0.01318,
epoch: [2], step: [137/1581], batch loss: 1.34119, batch accuracy: 43.75, data load time: 0.00634, step time: 0.01317,
epoch: [2], step: [437/1581], batch loss: 1.54934, batch accuracy: 46.88, data load time: 0.00024, step time: 0.01321,
epoch: [2], step: [737/1581], batch loss: 0.92939, batch accuracy: 68.75, data load time: 0.00025, step time: 0.01320,
epoch: [2], step: [1037/1581], batch loss: 0.99177, batch accuracy: 68.75, data load time: 0.00025, step time: 0.01321,
epoch: [2], step: [1337/1581], batch loss: 0.95048, batch accuracy: 68.75, data load time: 0.00025, step time: 0.01321,
epoch: [3], step: [56/1581], batch loss: 1.17393, batch accuracy: 62.50, data load time: 0.00020, step time: 0.01318,
epoch: [3], step: [356/1581], batch loss: 1.20963, batch accuracy: 50.00, data load time: 0.00025, step time: 0.01318,
epoch: [3], step: [656/1581], batch loss: 1.04910, batch accuracy: 56.25, data load time: 0.00035, step time: 0.01317,
epoch: [3], step: [956/1581], batch loss: 0.87986, batch accuracy: 71.88, data load time: 0.00032, step time: 0.01320,
epoch: [3], step: [1256/1581], batch loss: 0.90390, batch accuracy: 71.88, data load time: 0.00025, step time: 0.01322,
epoch: [3], step: [1556/1581], batch loss: 1.21215, batch accuracy: 68.75, data load time: 0.00013, step time: 0.01312,
epoch: [4], step: [275/1581], batch loss: 1.04289, batch accuracy: 59.38, data load time: 0.00023, step time: 0.01317,
epoch: [4], step: [575/1581], batch loss: 1.18691, batch accuracy: 59.38, data load time: 0.00023, step time: 0.01321,
epoch: [4], step: [875/1581], batch loss: 0.75926, batch accuracy: 68.75, data load time: 0.00032, step time: 0.01319,
epoch: [4], step: [1175/1581], batch loss: 0.97200, batch accuracy: 68.75, data load time: 0.00025, step time: 0.01318,
epoch: [4], step: [1475/1581], batch loss: 0.49906, batch accuracy: 78.12, data load time: 0.00025, step time: 0.01320,
validation loss: 1.02689, accuracy: 64.78, class_accuracy: [82.14285714285714, 60.36585365853659, 56.195965417867434, 59.823008849557525, 51.54798761609907, 59.44272445820433, 52.94117647058823, 79.03225806451613, 58.422939068100355, 72.28571428571429]
epoch: [5], step: [194/1581], batch loss: 0.71852, batch accuracy: 65.62, data load time: 0.00024, step time: 0.01319,
epoch: [5], step: [494/1581], batch loss: 0.79098, batch accuracy: 78.12, data load time: 0.00032, step time: 0.01317,
epoch: [5], step: [794/1581], batch loss: 0.72812, batch accuracy: 75.00, data load time: 0.00025, step time: 0.01321,
epoch: [5], step: [1094/1581], batch loss: 1.22798, batch accuracy: 62.50, data load time: 0.00023, step time: 0.01318,
epoch: [5], step: [1394/1581], batch loss: 0.82811, batch accuracy: 78.12, data load time: 0.00022, step time: 0.01319,
epoch: [6], step: [113/1581], batch loss: 0.77372, batch accuracy: 75.00, data load time: 0.00037, step time: 0.01318,
epoch: [6], step: [413/1581], batch loss: 0.94727, batch accuracy: 71.88, data load time: 0.00024, step time: 0.01316,
epoch: [6], step: [713/1581], batch loss: 0.46867, batch accuracy: 90.62, data load time: 0.00025, step time: 0.01319,
epoch: [6], step: [1013/1581], batch loss: 0.83713, batch accuracy: 65.62, data load time: 0.00024, step time: 0.01319,
epoch: [6], step: [1313/1581], batch loss: 0.96237, batch accuracy: 59.38, data load time: 0.00023, step time: 0.01319,
epoch: [7], step: [32/1581], batch loss: 0.96904, batch accuracy: 71.88, data load time: 0.00025, step time: 0.01347,
epoch: [7], step: [332/1581], batch loss: 0.57584, batch accuracy: 75.00, data load time: 0.00026, step time: 0.01320,
epoch: [7], step: [632/1581], batch loss: 0.47590, batch accuracy: 84.38, data load time: 0.00022, step time: 0.01892,
epoch: [7], step: [932/1581], batch loss: 0.56335, batch accuracy: 81.25, data load time: 0.00037, step time: 0.01320,
epoch: [7], step: [1232/1581], batch loss: 0.77518, batch accuracy: 78.12, data load time: 0.00036, step time: 0.01321,
epoch: [7], step: [1532/1581], batch loss: 0.56545, batch accuracy: 78.12, data load time: 0.00019, step time: 0.01320,
epoch: [8], step: [251/1581], batch loss: 0.55911, batch accuracy: 78.12, data load time: 0.00023, step time: 0.01317,
epoch: [8], step: [551/1581], batch loss: 0.62502, batch accuracy: 75.00, data load time: 0.00024, step time: 0.01319,
epoch: [8], step: [851/1581], batch loss: 0.46186, batch accuracy: 84.38, data load time: 0.00026, step time: 0.01323,
epoch: [8], step: [1151/1581], batch loss: 0.61655, batch accuracy: 81.25, data load time: 0.00025, step time: 0.01319,
epoch: [8], step: [1451/1581], batch loss: 0.59760, batch accuracy: 84.38, data load time: 0.00024, step time: 0.01319,
epoch: [9], step: [170/1581], batch loss: 0.63044, batch accuracy: 78.12, data load time: 0.00025, step time: 0.01319,
epoch: [9], step: [470/1581], batch loss: 0.35402, batch accuracy: 90.62, data load time: 0.00023, step time: 0.01316,
epoch: [9], step: [770/1581], batch loss: 0.62215, batch accuracy: 78.12, data load time: 0.00027, step time: 0.01354,
epoch: [9], step: [1070/1581], batch loss: 0.51973, batch accuracy: 84.38, data load time: 0.00372, step time: 0.01515,
epoch: [9], step: [1370/1581], batch loss: 0.71582, batch accuracy: 71.88, data load time: 0.00025, step time: 0.01320,
validation loss: 1.06477, accuracy: 67.88, class_accuracy: [64.0, 73.17073170731707, 79.82708933717579, 51.32743362831859, 73.83900928792569, 59.752321981424146, 89.2156862745098, 90.16129032258064, 55.017921146953405, 61.42857142857143]
epoch: [10], step: [89/1581], batch loss: 0.44580, batch accuracy: 90.62, data load time: 0.00024, step time: 0.01344,
epoch: [10], step: [389/1581], batch loss: 0.24390, batch accuracy: 93.75, data load time: 0.00479, step time: 0.01476,
epoch: [10], step: [689/1581], batch loss: 0.58089, batch accuracy: 78.12, data load time: 0.00024, step time: 0.01317,
epoch: [10], step: [989/1581], batch loss: 0.41967, batch accuracy: 84.38, data load time: 0.00035, step time: 0.01319,
epoch: [10], step: [1289/1581], batch loss: 0.69124, batch accuracy: 75.00, data load time: 0.00033, step time: 0.01321,
epoch: [11], step: [8/1581], batch loss: 0.34407, batch accuracy: 87.50, data load time: 0.00089, step time: 0.01319,
epoch: [11], step: [308/1581], batch loss: 0.72048, batch accuracy: 75.00, data load time: 0.00029, step time: 0.01355,
epoch: [11], step: [608/1581], batch loss: 0.50063, batch accuracy: 87.50, data load time: 0.00027, step time: 0.01353,
epoch: [11], step: [908/1581], batch loss: 0.35042, batch accuracy: 84.38, data load time: 0.00024, step time: 0.01319,
epoch: [11], step: [1208/1581], batch loss: 0.22086, batch accuracy: 84.38, data load time: 0.00026, step time: 0.01320,
epoch: [11], step: [1508/1581], batch loss: 0.53818, batch accuracy: 78.12, data load time: 0.00023, step time: 0.01319,
epoch: [12], step: [227/1581], batch loss: 0.69651, batch accuracy: 75.00, data load time: 0.00023, step time: 0.01317,
epoch: [12], step: [527/1581], batch loss: 0.71767, batch accuracy: 75.00, data load time: 0.00022, step time: 0.01318,
epoch: [12], step: [827/1581], batch loss: 0.76725, batch accuracy: 71.88, data load time: 0.00023, step time: 0.01320,
epoch: [12], step: [1127/1581], batch loss: 0.53267, batch accuracy: 81.25, data load time: 0.00034, step time: 0.01319,
epoch: [12], step: [1427/1581], batch loss: 0.32164, batch accuracy: 87.50, data load time: 0.00728, step time: 0.01319,
epoch: [13], step: [146/1581], batch loss: 0.27360, batch accuracy: 90.62, data load time: 0.00024, step time: 0.01319,
