Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_lr=0.001_momentum=0.9_mode=LMC_run_22
epoch: [0], step: [299/1581], batch loss: 1.15083, batch accuracy: 65.62, data load time: 0.00021, step time: 0.01057,
epoch: [0], step: [599/1581], batch loss: 0.66979, batch accuracy: 75.00, data load time: 0.00023, step time: 0.01053,
epoch: [0], step: [899/1581], batch loss: 0.68891, batch accuracy: 71.88, data load time: 0.00022, step time: 0.00970,
epoch: [0], step: [1199/1581], batch loss: 0.65034, batch accuracy: 81.25, data load time: 0.00023, step time: 0.01153,
epoch: [0], step: [1499/1581], batch loss: 0.26229, batch accuracy: 90.62, data load time: 0.00025, step time: 0.01203,
epoch: [1], step: [218/1581], batch loss: 0.25397, batch accuracy: 96.88, data load time: 0.00023, step time: 0.01084,
epoch: [1], step: [518/1581], batch loss: 0.39475, batch accuracy: 84.38, data load time: 0.00022, step time: 0.00970,
epoch: [1], step: [818/1581], batch loss: 0.42083, batch accuracy: 87.50, data load time: 0.00026, step time: 0.01055,
epoch: [1], step: [1118/1581], batch loss: 0.32554, batch accuracy: 93.75, data load time: 0.00025, step time: 0.01003,
epoch: [1], step: [1418/1581], batch loss: 0.26256, batch accuracy: 84.38, data load time: 0.00032, step time: 0.01034,
epoch: [2], step: [137/1581], batch loss: 0.55221, batch accuracy: 84.38, data load time: 0.00022, step time: 0.01100,
epoch: [2], step: [437/1581], batch loss: 0.34539, batch accuracy: 90.62, data load time: 0.00032, step time: 0.01040,
epoch: [2], step: [737/1581], batch loss: 0.31532, batch accuracy: 90.62, data load time: 0.00034, step time: 0.01001,
epoch: [2], step: [1037/1581], batch loss: 0.55884, batch accuracy: 78.12, data load time: 0.00022, step time: 0.01015,
epoch: [2], step: [1337/1581], batch loss: 0.54993, batch accuracy: 87.50, data load time: 0.00023, step time: 0.01026,
epoch: [3], step: [56/1581], batch loss: 0.24498, batch accuracy: 87.50, data load time: 0.00021, step time: 0.01228,
epoch: [3], step: [356/1581], batch loss: 0.13063, batch accuracy: 93.75, data load time: 0.00035, step time: 0.01107,
epoch: [3], step: [656/1581], batch loss: 0.08887, batch accuracy: 100.00, data load time: 0.00024, step time: 0.01182,
epoch: [3], step: [956/1581], batch loss: 0.39011, batch accuracy: 84.38, data load time: 0.00291, step time: 0.01167,
epoch: [3], step: [1256/1581], batch loss: 0.22045, batch accuracy: 90.62, data load time: 0.00022, step time: 0.01042,
epoch: [3], step: [1556/1581], batch loss: 0.04070, batch accuracy: 100.00, data load time: 0.00011, step time: 0.00874,
epoch: [4], step: [275/1581], batch loss: 0.19148, batch accuracy: 93.75, data load time: 0.00024, step time: 0.01010,
epoch: [4], step: [575/1581], batch loss: 0.22904, batch accuracy: 93.75, data load time: 0.00027, step time: 0.01016,
epoch: [4], step: [875/1581], batch loss: 0.22145, batch accuracy: 93.75, data load time: 0.00026, step time: 0.01089,
epoch: [4], step: [1175/1581], batch loss: 0.12755, batch accuracy: 96.88, data load time: 0.00026, step time: 0.01032,
epoch: [4], step: [1475/1581], batch loss: 0.33338, batch accuracy: 87.50, data load time: 0.00370, step time: 0.01271,
validation loss: 1.21261, accuracy: 68.16, class_accuracy: [50.0, 83.53658536585365, 66.42651296829972, 55.39823008849557, 83.28173374613003, 69.81424148606811, 97.05882352941177, 98.2258064516129, 43.90681003584229, 67.71428571428571]
epoch: [5], step: [194/1581], batch loss: 0.23950, batch accuracy: 96.88, data load time: 0.00032, step time: 0.01100,
epoch: [5], step: [494/1581], batch loss: 0.09152, batch accuracy: 100.00, data load time: 0.00022, step time: 0.01083,
epoch: [5], step: [794/1581], batch loss: 0.38519, batch accuracy: 84.38, data load time: 0.00022, step time: 0.01013,
epoch: [5], step: [1094/1581], batch loss: 0.20198, batch accuracy: 93.75, data load time: 0.00300, step time: 0.01169,
epoch: [5], step: [1394/1581], batch loss: 0.28063, batch accuracy: 90.62, data load time: 0.00024, step time: 0.01012,
epoch: [6], step: [113/1581], batch loss: 0.06490, batch accuracy: 100.00, data load time: 0.00022, step time: 0.01185,
epoch: [6], step: [413/1581], batch loss: 0.32784, batch accuracy: 84.38, data load time: 0.00023, step time: 0.01181,
epoch: [6], step: [713/1581], batch loss: 0.42402, batch accuracy: 81.25, data load time: 0.00024, step time: 0.00972,
epoch: [6], step: [1013/1581], batch loss: 0.21033, batch accuracy: 93.75, data load time: 0.00023, step time: 0.00999,
epoch: [6], step: [1313/1581], batch loss: 0.19220, batch accuracy: 90.62, data load time: 0.00352, step time: 0.01137,
epoch: [7], step: [32/1581], batch loss: 0.10336, batch accuracy: 96.88, data load time: 0.00021, step time: 0.01651,
epoch: [7], step: [332/1581], batch loss: 0.10308, batch accuracy: 93.75, data load time: 0.00024, step time: 0.01023,
epoch: [7], step: [632/1581], batch loss: 0.14634, batch accuracy: 93.75, data load time: 0.00031, step time: 0.00997,
epoch: [7], step: [932/1581], batch loss: 0.23640, batch accuracy: 90.62, data load time: 0.00021, step time: 0.01015,
epoch: [7], step: [1232/1581], batch loss: 0.10073, batch accuracy: 96.88, data load time: 0.00024, step time: 0.01045,
epoch: [7], step: [1532/1581], batch loss: 0.27699, batch accuracy: 87.50, data load time: 0.00017, step time: 0.00971,
epoch: [8], step: [251/1581], batch loss: 0.11829, batch accuracy: 93.75, data load time: 0.00021, step time: 0.00990,
epoch: [8], step: [551/1581], batch loss: 0.12962, batch accuracy: 96.88, data load time: 0.00022, step time: 0.00980,
epoch: [8], step: [851/1581], batch loss: 0.10503, batch accuracy: 96.88, data load time: 0.00022, step time: 0.00983,
epoch: [8], step: [1151/1581], batch loss: 0.15495, batch accuracy: 90.62, data load time: 0.00045, step time: 0.01069,
epoch: [8], step: [1451/1581], batch loss: 0.29212, batch accuracy: 90.62, data load time: 0.00023, step time: 0.00968,
epoch: [9], step: [170/1581], batch loss: 0.20270, batch accuracy: 93.75, data load time: 0.00022, step time: 0.00987,
epoch: [9], step: [470/1581], batch loss: 0.06927, batch accuracy: 96.88, data load time: 0.00023, step time: 0.01045,
epoch: [9], step: [770/1581], batch loss: 0.29996, batch accuracy: 93.75, data load time: 0.00032, step time: 0.01021,
epoch: [9], step: [1070/1581], batch loss: 0.26384, batch accuracy: 90.62, data load time: 0.00035, step time: 0.01015,
epoch: [9], step: [1370/1581], batch loss: 0.22075, batch accuracy: 84.38, data load time: 0.00033, step time: 0.01012,
validation loss: 1.33350, accuracy: 67.36, class_accuracy: [49.42857142857143, 87.8048780487805, 56.77233429394813, 76.10619469026548, 77.24458204334366, 69.96904024767802, 90.19607843137256, 94.51612903225806, 46.415770609319, 61.714285714285715]
epoch: [10], step: [89/1581], batch loss: 0.23466, batch accuracy: 90.62, data load time: 0.00610, step time: 0.01013,
epoch: [10], step: [389/1581], batch loss: 0.14081, batch accuracy: 93.75, data load time: 0.00022, step time: 0.00986,
epoch: [10], step: [689/1581], batch loss: 0.13603, batch accuracy: 93.75, data load time: 0.00023, step time: 0.01052,
epoch: [10], step: [989/1581], batch loss: 0.10464, batch accuracy: 96.88, data load time: 0.00022, step time: 0.01042,
epoch: [10], step: [1289/1581], batch loss: 0.08673, batch accuracy: 100.00, data load time: 0.00308, step time: 0.01197,
