Using CUDA...
tensor([1.0006, 3.4515, 1.0082, 1.2300, 1.1086, 1.0027, 5.6646, 1.0702, 1.0825,
        1.0000], device='cuda:0')
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_lr=0.001_momentum=0.9_mode=MLMC_run_7
epoch: [0], step: [299/1581], batch loss: 1.35518, batch accuracy: 46.88, data load time: 0.00027, step time: 0.01391,
epoch: [0], step: [599/1581], batch loss: 1.05758, batch accuracy: 59.38, data load time: 0.00026, step time: 0.02374,
epoch: [0], step: [899/1581], batch loss: 0.63997, batch accuracy: 78.12, data load time: 0.00023, step time: 0.01390,
epoch: [0], step: [1199/1581], batch loss: 0.91667, batch accuracy: 75.00, data load time: 0.00024, step time: 0.01549,
epoch: [0], step: [1499/1581], batch loss: 0.59380, batch accuracy: 81.25, data load time: 0.00027, step time: 0.02224,
epoch: [1], step: [218/1581], batch loss: 0.46517, batch accuracy: 87.50, data load time: 0.00024, step time: 0.03022,
epoch: [1], step: [518/1581], batch loss: 0.40223, batch accuracy: 81.25, data load time: 0.00024, step time: 0.02503,
epoch: [1], step: [818/1581], batch loss: 0.62293, batch accuracy: 81.25, data load time: 0.00027, step time: 0.02300,
epoch: [1], step: [1118/1581], batch loss: 0.49284, batch accuracy: 78.12, data load time: 0.00037, step time: 0.01404,
epoch: [1], step: [1418/1581], batch loss: 0.65918, batch accuracy: 65.62, data load time: 0.00926, step time: 0.02114,
epoch: [2], step: [137/1581], batch loss: 0.38480, batch accuracy: 87.50, data load time: 0.00026, step time: 0.01391,
epoch: [2], step: [437/1581], batch loss: 0.39973, batch accuracy: 84.38, data load time: 0.00026, step time: 0.01720,
epoch: [2], step: [737/1581], batch loss: 0.21454, batch accuracy: 90.62, data load time: 0.00026, step time: 0.01391,
epoch: [2], step: [1037/1581], batch loss: 0.49355, batch accuracy: 78.12, data load time: 0.00026, step time: 0.01394,
epoch: [2], step: [1337/1581], batch loss: 0.64375, batch accuracy: 75.00, data load time: 0.00027, step time: 0.01389,
epoch: [3], step: [56/1581], batch loss: 1.01479, batch accuracy: 84.38, data load time: 0.00023, step time: 0.01924,
epoch: [3], step: [356/1581], batch loss: 0.34767, batch accuracy: 90.62, data load time: 0.00025, step time: 0.01521,
epoch: [3], step: [656/1581], batch loss: 0.25686, batch accuracy: 93.75, data load time: 0.00027, step time: 0.01392,
epoch: [3], step: [956/1581], batch loss: 0.22170, batch accuracy: 93.75, data load time: 0.00027, step time: 0.01389,
epoch: [3], step: [1256/1581], batch loss: 0.12018, batch accuracy: 96.88, data load time: 0.00024, step time: 0.01391,
epoch: [3], step: [1556/1581], batch loss: 0.39359, batch accuracy: 84.38, data load time: 0.00014, step time: 0.01383,
epoch: [4], step: [275/1581], batch loss: 0.13606, batch accuracy: 96.88, data load time: 0.00026, step time: 0.03170,
epoch: [4], step: [575/1581], batch loss: 0.23232, batch accuracy: 87.50, data load time: 0.00025, step time: 0.02218,
epoch: [4], step: [875/1581], batch loss: 0.47153, batch accuracy: 75.00, data load time: 0.00026, step time: 0.02168,
