Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=Adam_decay=1e-05_lr=0.001_momentum=0.9_mode=LMC_run_0
epoch: [0], step: [299/1581], batch loss: 1.34259, batch accuracy: 56.25, data load time: 0.00021, step time: 0.01113,
epoch: [0], step: [599/1581], batch loss: 1.00417, batch accuracy: 62.50, data load time: 0.00033, step time: 0.01076,
epoch: [0], step: [899/1581], batch loss: 0.86947, batch accuracy: 75.00, data load time: 0.00023, step time: 0.01010,
epoch: [0], step: [1199/1581], batch loss: 0.60221, batch accuracy: 81.25, data load time: 0.00022, step time: 0.00978,
epoch: [0], step: [1499/1581], batch loss: 0.37130, batch accuracy: 84.38, data load time: 0.00024, step time: 0.01139,
epoch: [1], step: [218/1581], batch loss: 0.31490, batch accuracy: 87.50, data load time: 0.00023, step time: 0.01022,
epoch: [1], step: [518/1581], batch loss: 0.24972, batch accuracy: 90.62, data load time: 0.00023, step time: 0.01048,
epoch: [1], step: [818/1581], batch loss: 0.28118, batch accuracy: 84.38, data load time: 0.00024, step time: 0.01017,
epoch: [1], step: [1118/1581], batch loss: 0.57233, batch accuracy: 78.12, data load time: 0.00026, step time: 0.01011,
epoch: [1], step: [1418/1581], batch loss: 0.18601, batch accuracy: 93.75, data load time: 0.00023, step time: 0.01205,
epoch: [2], step: [137/1581], batch loss: 0.45590, batch accuracy: 93.75, data load time: 0.00021, step time: 0.01105,
epoch: [2], step: [437/1581], batch loss: 0.18287, batch accuracy: 93.75, data load time: 0.00033, step time: 0.01094,
epoch: [2], step: [737/1581], batch loss: 0.27515, batch accuracy: 96.88, data load time: 0.00024, step time: 0.01064,
epoch: [2], step: [1037/1581], batch loss: 0.47866, batch accuracy: 81.25, data load time: 0.00332, step time: 0.01157,
epoch: [2], step: [1337/1581], batch loss: 0.25243, batch accuracy: 84.38, data load time: 0.00025, step time: 0.00975,
epoch: [3], step: [56/1581], batch loss: 0.13674, batch accuracy: 96.88, data load time: 0.00022, step time: 0.01257,
epoch: [3], step: [356/1581], batch loss: 0.69457, batch accuracy: 96.88, data load time: 0.00036, step time: 0.01015,
epoch: [3], step: [656/1581], batch loss: 0.35363, batch accuracy: 87.50, data load time: 0.00023, step time: 0.01015,
epoch: [3], step: [956/1581], batch loss: 0.10564, batch accuracy: 96.88, data load time: 0.00034, step time: 0.00978,
epoch: [3], step: [1256/1581], batch loss: 0.17254, batch accuracy: 93.75, data load time: 0.00346, step time: 0.01050,
epoch: [3], step: [1556/1581], batch loss: 0.06083, batch accuracy: 100.00, data load time: 0.00011, step time: 0.00871,
epoch: [4], step: [275/1581], batch loss: 0.08355, batch accuracy: 96.88, data load time: 0.00023, step time: 0.00989,
epoch: [4], step: [575/1581], batch loss: 0.05231, batch accuracy: 100.00, data load time: 0.00033, step time: 0.01008,
epoch: [4], step: [875/1581], batch loss: 0.08025, batch accuracy: 96.88, data load time: 0.00033, step time: 0.01021,
epoch: [4], step: [1175/1581], batch loss: 0.14292, batch accuracy: 93.75, data load time: 0.00022, step time: 0.00931,
epoch: [4], step: [1475/1581], batch loss: 0.03750, batch accuracy: 96.88, data load time: 0.00024, step time: 0.00999,
validation loss: 1.47081, accuracy: 65.10, class_accuracy: [39.83050847457627, 71.05263157894737, 53.84615384615385, 69.02654867256638, 100.0, 48.62385321100918, 80.0, 89.38053097345133, 42.857142857142854, 66.94915254237289]
epoch: [5], step: [194/1581], batch loss: 0.12578, batch accuracy: 96.88, data load time: 0.00024, step time: 0.01032,
epoch: [5], step: [494/1581], batch loss: 0.16171, batch accuracy: 93.75, data load time: 0.00023, step time: 0.01144,
epoch: [5], step: [794/1581], batch loss: 0.22473, batch accuracy: 90.62, data load time: 0.00022, step time: 0.01152,
epoch: [5], step: [1094/1581], batch loss: 0.02878, batch accuracy: 100.00, data load time: 0.00022, step time: 0.01121,
epoch: [5], step: [1394/1581], batch loss: 0.03951, batch accuracy: 100.00, data load time: 0.00021, step time: 0.00931,
epoch: [6], step: [113/1581], batch loss: 0.05394, batch accuracy: 96.88, data load time: 0.00022, step time: 0.01032,
epoch: [6], step: [413/1581], batch loss: 0.09184, batch accuracy: 96.88, data load time: 0.00023, step time: 0.00976,
epoch: [6], step: [713/1581], batch loss: 0.10130, batch accuracy: 93.75, data load time: 0.00033, step time: 0.01058,
